id,Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
1,Fondren Orthopedic Group L.L.P.,TX,Healthcare Provider,11552,04/02/2018,Unauthorized Access/Disclosure,Paper/Films,No,
2,West Kendall Baptist Hospital,FL,Healthcare Provider,1480,04/02/2018,Unauthorized Access/Disclosure,Other,No,
3,"Sonoma County Indian Health Project, Inc",CA,Healthcare Provider,662,03/30/2018,Unauthorized Access/Disclosure,"Desktop Computer, Email",No,
4,"Milligan Chiropractic Group, Inc. d/b/a Del Mar Chiropractic Sports Group",CA,Healthcare Provider,2640,03/30/2018,Theft,Laptop,No,
5,Middletown Medical P.C.,NY,Healthcare Provider,63551,03/29/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No,
6,NYC Health + Hospitals/Harlem,NY,Healthcare Provider,595,03/29/2018,Theft,Laptop,No,
7,Cambridge Health Alliance,MA,Healthcare Provider,2280,03/28/2018,Hacking/IT Incident,Other,No,
8,Walmart Inc.,AR,Healthcare Provider,741,03/26/2018,Unauthorized Access/Disclosure,"Email, Other",No,
9,Mississippi State Department of Health,MS,Healthcare Provider,30799,03/26/2018,Unauthorized Access/Disclosure,Email,No,
10,VA Palo Alto Health Care System,CA,Healthcare Provider,1600,03/26/2018,Unauthorized Access/Disclosure,Paper/Films,No,
11,City of Houston Medical Plan,TX,Health Plan,34637,03/22/2018,Theft,Laptop,No,
12,"National Mentor Healthcare, LLC.",MA,Healthcare Provider,1015,03/21/2018,Loss,Other Portable Electronic Device,No,
13,"Mentor ABI, LLC",MA,Healthcare Provider,994,03/21/2018,Loss,Other Portable Electronic Device,No,
14,"Center for Comprehensive Services, Inc.",MA,Healthcare Provider,1176,03/21/2018,Loss,Other Portable Electronic Device,No,
15,"CareMeridian, LLC",MA,Healthcare Provider,1922,03/21/2018,Loss,Other Portable Electronic Device,No,
16,"Prestera Center for Mental Health Services, Inc.",WV,Healthcare Provider,670,03/20/2018,Hacking/IT Incident,Email,No,
17,"Primary Health Care, Inc.",IA,Healthcare Provider,10313,03/16/2018,Unauthorized Access/Disclosure,Email,No,
18,North Texas Medical Center ,TX,Healthcare Provider,3350,03/15/2018,Unauthorized Access/Disclosure,Other,No,
19,UnitedHealth Group Single Affiliated Covered Entity ,MN,Health Plan,1755,03/15/2018,Unauthorized Access/Disclosure,Paper/Films,No,
20,Saint Francis Hospital,GA,Healthcare Provider,1412,03/14/2018,Improper Disposal,Other,No,
21,"Serene Sedation, LLC",MD,Healthcare Provider,5207,03/14/2018,Hacking/IT Incident,Network Server,No,
22,Special Agents Mutual Benefit Association,MD,Health Plan,13942,03/13/2018,Unauthorized Access/Disclosure,Paper/Films,No,
23,"ATI Holdings, LLC and its subsidiaries ",IL,Healthcare Provider,35136,03/12/2018,Hacking/IT Incident,Email,No,
24,Barnes-Jewish St. Peters Hospital,MO,Healthcare Provider,15046,03/12/2018,Unauthorized Access/Disclosure,Network Server,No,
25,Barnes-Jewish Hospital,MO,Healthcare Provider,18436,03/12/2018,Unauthorized Access/Disclosure,Network Server,No,
26,The Arc of Erie County,NY,Healthcare Provider,3751,03/09/2018,Unauthorized Access/Disclosure,Other,No,
27,inSite Digestive Health Care,CA,Healthcare Provider,1424,03/09/2018,Theft,Paper/Films,No,
28,"Front Range Dermatology Associates, P.C.",CO,Healthcare Provider,1070,03/07/2018,Unauthorized Access/Disclosure,"Electronic Medical Record, Email, Laptop",No,
29,John J. Pershing VA Medical Center,MO,Healthcare Provider,1843,03/07/2018,Unauthorized Access/Disclosure,Paper/Films,No,
30,Memorial Hospital at Gulfport,MS,Healthcare Provider,1512,02/28/2018,Unauthorized Access/Disclosure,Email,No,
31,St. Peter's Ambulatory Surgery Center LLC - d/b/a St. Peter's Surgery & Endoscopy Center,NY,Healthcare Provider,134512,02/28/2018,Hacking/IT Incident,Network Server,No,
32,"Union Lake Supermarket, LLC",NJ,Healthcare Provider,9956,02/28/2018,Improper Disposal,Other Portable Electronic Device,No,
33,FastHealth Corporation,AL,Business Associate,1345,02/27/2018,Hacking/IT Incident,Network Server,Yes,
34,Rhode Island Executive Office of Health and Human Services,RI,Health Plan,1100,02/27/2018,Unauthorized Access/Disclosure,Paper/Films,No,
35,California College of Arts,CA,Health Plan,623,02/26/2018,Theft,Laptop,No,
36,"Quad/Med, LLC",WI,Healthcare Provider,2471,02/26/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No,
37,"Quad/Med, LLC",WI,Healthcare Provider,2834,02/26/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No,
38,Center for Sports Medicine and Orthopedics ,TN,Healthcare Provider,800,02/26/2018,Unauthorized Access/Disclosure,Paper/Films,No,
39,"Walmart, Inc.",AR,Healthcare Provider,735,02/22/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No,
40,ConnectiCare,CT,Health Plan,1834,02/21/2018,Unauthorized Access/Disclosure,Paper/Films,No,
41,Missouri Dept. of Mental Health,MO,Healthcare Provider,1000,02/21/2018,Unauthorized Access/Disclosure,Other,No,
42,University of Virginia Medical Center,VA,Healthcare Provider,1882,02/21/2018,Hacking/IT Incident,"Desktop Computer, Laptop",No,
43,Flexible Benefit Service Corporation,IL,Business Associate,5123,02/16/2018,Hacking/IT Incident,Email,Yes,
44,"Jemison Internal Medicine, PC",AL,Health Plan,6550,02/16/2018,Hacking/IT Incident,Network Server,No,
